id,cid,codes,Counties,Uhuru,Raila,Others,Margin
1,C01,MSA,MOMBASA,64793,189985,14536,-46.49
2,C02,KLE,KWALE,17633,101407,5586,-67.22
3,C03,KLF,KILIFI,23386,182708,9708,-73.83
4,C04,TRV,TANA-RIVER,22419,39666,1995,-26.91
5,C05,LMU,LAMU,17677,22962,2895,-12.14
6,C06,TTA,TAITA-TAVETA,12175,75329,3829,-69.15
7,C07,GRS,GARISSA,41672,44724,4986,-3.53
8,C08,WJR,WAJIR,38927,49712,11056,-12.17
9,C09,MDR,MANDERA,94433,4366,2472,91.16
10,C10,MBT,MARSABIT,42407,43842,3312,-1.66
11,C11,ILO,ISIOLO,26401,14108,6849,25.96
12,C12,MRU,MERU,384290,32447,8657,84.43
13,C13,THN,THARAKA-NITHI,128397,7120,2425,89.49
14,C14,EBU,EMBU,177676,15912,4330,81.73
15,C15,KTI,KITUI,40752,219588,13135,-65.39
16,C16,MKS,MACHAKOS,35660,319594,11984,-77.32
17,C17,MKN,MAKUENI,12652,228843,8553,-86.46
18,C18,NDR,NYANDARUA,232808,2889,2278,96.61
19,C19,NRI,NYERI,318880,5638,4041,95.34
20,C20,KRN,KIRINYAGA,231868,3471,4542,95.21
21,C21,MRG,MURANGA,406334,10312,4637,94.00
22,C22,KBU,KIAMBU,705185,61700,9787,82.85
23,C23,TKN,TURKANA,30235,68402,2239,-38.69
24,C24,WPT,WEST POKOT,79772,24962,3328,52.33
25,C25,SBR,SAMBURU,22085,31086,601,-16.93
26,C26,TNZ,TRANS-NZOIA,74466,92035,28785,-10.55
27,C27,USG,UASIN-GISHU,211438,60060,10364,55.76
28,C28,EMT,ELGEYO-MARAKWET,113680,5993,2780,89.98
29,C29,NDI,NANDI,192587,20549,20872,80.72
30,C30,BRG,BARINGO,138488,14824,3037,80.66
31,C31,LKP,LAIKIPIA,134111,19702,2253,74.38
32,C32,NKR,NAKURU,494239,105600,10904,64.79
33,C33,NRK,NAROK,109413,118623,6222,-4.04
34,C34,KJD,KAJIADO,138851,117856,6424,8.18
35,C35,KRC,KERICHO,238556,17326,5091,86.46
36,C36,BMT,BOMET,210501,10463,4749,90.53
37,C37,KMG,KAKAMEGA,12469,303120,152194,-92.10
38,C38,VGA,VIHIGA,2542,77825,85127,-45.49
39,C39,BGM,BUNGOMA,42988,185419,117312,-41.20
40,C40,BSA,BUSIA,8186,189161,21309,-82.77
41,C41,SYA,SIAYA,884,284031,1834,-98.74
42,C42,KSM,KISUMU,4630,337232,5257,-95.82
43,C43,HBY,HOMABAY,725,303447,1494,-99.04
44,C44,MGR,MIGORI,26055,225645,8191,-76.80
45,C45,KIS,KISII,95596,236831,11538,-41.06
46,C46,NMR,NYAMIRA,54071,121590,5571,-37.26
47,C47,NBI,NAIROBI,659490,691156,47830,-2.26
