id,cid,codes,counties,voters2017,no_pollstns,ic_gvn,ic_mp,UhuruVotes,%percent,RailaVotes,%percent,Others,%percent,Total2017,Turnout2017,margin2017
1,C01,MSA,MOMBASA,580223,934,1,15,99508,29.1,238943,69.9,3575,1,342026,58.95,-40.77
2,C02,KLE,KWALE,281041,612,2,7,43812,23.7,138664,75,2307,1.2,184783,65.75,-51.33
3,C03,KLF,KILIFI,508068,988,1,7,49693,15.2,273852,83.6,4196,1.3,327741,64.51,-68.40
4,C04,TRV,TANA-RIVER,118327,307,0,1,40317,46.1,45641,52.2,1490,1.7,87448,73.9,-6.09
5,C05,LMU,LAMU,69776,167,0,2,24225,48.9,24423,49.3,868,1.8,49516,70.96,-0.40
6,C06,TTA,TAITA-TAVETA,155716,354,4,3,31158,27.7,79832,70.9,1542,1.4,112532,72.27,-43.25
7,C07,GRS,GARISSA,163350,381,0,2,54825,48.3,54784,48.3,3905,3.4,113514,69.49,0.04
8,C08,WJR,WAJIR,162902,434,0,1,61199,51.2,52840,44.2,5482,4.6,119521,73.37,6.99
9,C09,MDR,MANDERA,175642,401,0,0,113469,83,18122,13.3,5054,3.7,136645,77.8,69.78
10,C10,MBT,MARSABIT,141708,384,0,0,92681,83.6,16114,14.5,2026,1.8,110821,78.2,69.09
11,C11,ILO,ISIOLO,75338,195,1,4,26732,49.3,19029,35.1,8440,15.6,54201,71.94,14.21
12,C12,MRU,MERU,702480,1473,2,35,483033,88.9,55951,10.3,4596,0.8,543580,77.38,78.57
13,C13,THN,THARAKA-NITHI,213154,625,2,4,162923,93.3,10334,5.9,1458,0.8,174715,81.97,87.34
14,C14,EBU,EMBU,309468,710,1,9,232409,92.2,17623,7,2108,0.8,252140,81.48,85.19
15,C15,KTI,KITUI,474512,1454,1,12,64726,18,287198,79.9,7434,2.1,359358,75.73,-61.91
16,C16,MKS,MACHAKOS,620254,1332,1,13,83039,17.6,381220,80.9,6853,1.5,471112,75.95,-63.29
17,C17,MKN,MAKUENI,423310,1060,0,12,27424,8.2,301155,90.6,3903,1.2,332482,78.54,-82.33
18,C18,NDR,NYANDARUA,335634,654,2,12,286555,99,2305,0.8,624,0.2,289484,86.25,98.19
19,C19,NRI,NYERI,456949,917,2,29,388362,98.4,4719,1.2,1428,0.4,394509,86.34,97.25
20,C20,KRN,KIRINYAGA,349836,659,2,10,297086,98.6,3117,1,1058,0.4,301261,86.11,97.58
21,C21,MRG,MURANGA,587126,1131,1,24,498051,97.9,9133,1.8,1624,0.3,508808,86.66,96.09
22,C22,KBU,KIAMBU,1180920,1963,2,34,913607,92.7,69157,7,2653,0.3,985417,83.44,85.69
23,C23,TKN,TURKANA,191435,644,0,2,59239,44.9,71326,54.1,1249,0.9,131814,68.86,-9.17
24,C24,WPT,WEST POKOT,180232,712,0,1,97677,64.8,51930,34.4,1174,0.8,150781,83.66,30.34
25,C25,SBR,SAMBURU,82787,284,0,1,31786,49.7,31661,49.5,541,0.8,63988,77.29,0.20
26,C26,TNZ,TRANS-NZOIA,339622,639,2,18,110338,44.6,134462,54.3,2840,1.1,247640,72.92,-9.74
27,C27,USG,UASIN-GISHU,450055,868,1,14,267392,78.2,72574,21.2,1934,0.6,341900,75.97,56.98
28,C28,EMT,ELGEYO-MARAKWET,180664,529,2,10,138755,94.7,7046,4.8,784,0.5,146585,81.14,89.85
29,C29,NDI,NANDI,346007,796,2,10,235739,86.8,34148,12.6,1686,0.6,271573,78.49,74.23
30,C30,BRG,BARINGO,232258,892,0,9,161634,84.9,27725,14.6,1085,0.6,190444,82,70.31
31,C31,LKP,LAIKIPIA,246487,531,5,8,177747,89.1,20872,10.5,927,0.5,199546,80.96,78.62
32,C32,NKR,NAKURU,949618,1806,4,28,639528,84.8,111789,14.8,3220,0.4,754537,79.46,69.94
33,C33,NRK,NAROK,341730,750,0,9,149989,53.1,130056,46.1,2166,0.8,282211,82.58,7.06
34,C34,KJD,KAJIADO,411193,797,1,4,186326,57.1,138585,42.5,1386,0.4,326297,79.35,14.63
35,C35,KRC,KERICHO,375668,780,0,10,281773,92.9,19562,6.4,2135,0.7,303470,80.78,86.40
36,C36,BMT,BOMET,322012,728,0,18,229581,87,32002,12.1,2279,0.9,263862,81.94,74.88
37,C37,KMG,KAKAMEGA,743736,1497,1,25,63910,11.5,485373,87.4,6298,1.1,555581,74.7,-75.86
38,C38,VGA,VIHIGA,272409,548,2,10,18562,9.1,181889,89.6,2451,1.2,202902,74.48,-80.50
39,C39,BGM,BUNGOMA,559850,1186,1,30,127415,30.2,287316,68.1,7185,1.7,421916,75.36,-37.90
40,C40,BSA,BUSIA,351048,760,1,12,34496,12.5,240416,86.8,2022,0.7,276934,78.89,-74.36
41,C41,SYA,SIAYA,457953,916,3,8,2533,0.7,376647,99.1,840,0.2,380020,82.98,-98.45
42,C42,KSM,KISUMU,539210,1027,1,7,7743,1.8,430229,97.9,1451,0.3,439423,81.49,-96.15
43,C43,HBY,HOMABAY,476875,1062,2,19,1952,0.5,400218,99.4,666,0.2,402836,84.47,-98.87
44,C44,MGR,MIGORI,388633,826,2,17,45655,14.2,274938,85.4,1534,0.5,322127,82.89,-71.18
45,C45,KIS,KISII,546580,1126,1,17,175415,43.2,224855,55.4,5602,1.4,405872,74.26,-12.18
46,C46,NMR,NYAMIRA,278853,553,2,10,106894,52.1,95470,46.5,2912,1.4,205276,73.61,5.57
47,C47,NBI,NAIROBI,2250853,3378,5,68,793065,48.5,834032,51,8319,0.5,1635416,72.66,-2.50
48,,,DIASPORA,4393,10,,,1504,52.9,1321,46.4,19,0.7,2844,64.74,6.43
49,,,PRISONS,5528,103,,,1887,45.7,2214,53.6,30,0.7,4131,74.73,-7.92
,,,TotalVotes,19611423,,,,8223369,54.17,6822812,44.94,135359,0.89,15181540,77.41,
